date,title,link,department
2021/10/15,110年第1次文化部補助辦理蒙藏學術文化及人道援助活動申請案件審查結果,AwardPublish.jsp?__viewstate=KSQNMhhcbO0LNp6OTlbJYNP7dFeccLWHmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-蒙藏文化中心
2021/10/09,「2021笨港五湖四海宴─台灣頂尖傳統工藝聯展」推廣計畫,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53BU6LDIXiaqgyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/10/02,110年度電視金鐘獎得獎名單及評審委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErOStFBi6ue2aeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/09/30,110年度「文化部補助文化團體及個人從事文化交流活動處理要點」專案補助( 青年園丁第二次徵件)審查結果,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W+M3RyrI1IusmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/09/29,110年度國產電影片國內映演獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1rGVoYU1zsLnx74pGn1aGIrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/09/28,探勘新興科技於工藝新用補助計畫,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53JHDiQk8Uck8yNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/09/25,110年度廣播金鐘獎得獎名單及評審委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjql38J5/v6NNhmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/09/16,110年「文化部推動地方影視音發展計畫」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1AYk0noR965NY816vU6bwJLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/09/06,110年第5次「文化部補助文化團體及個人從事文化交流活動」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W+M3RyrI1IusLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/09/03,110年「5G科技影音展演創新應用補助」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3pg18ZSewsbqdFBRIn8tcW3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/09/03,110年度「補助入圍(選)或獲國內外重要影展獎項電影片之影視事業及導演製作下一部電影片(紀錄片)」紀錄片獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqsBQ074KPAaMU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/09/02,110年度電視金鐘獎入圍名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErDUDBpBeq2vNUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/08/27,110年流行音樂跨界內容合製補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhDEXU5TZeuIGeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/08/25,110年第4次「文化部補助文化團體及個人從事文化交流活動」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W+bcZl/ZI9jL3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/08/25,110年度廣播金鐘獎入圍名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqpHDiQk8Uck83btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/08/20,110年第1次「文化部辦理發展國際數位傳播補助作業要點」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarw9yKDmE+EPCNLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/08/16,110年度第1梯次國產電影長片輔導金獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2vsUeZbEOV5VNiZv9eo6WHiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/08/13,110年「新南向海外交流專題計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W6Q53qtVdZD1LlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/08/06,110年度金視獎得獎名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErP1BVffbrPTZ3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/08/06,110年走讀臺灣主題路徑建置計畫獲獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1fOVo/o0VNcbjF4D8S0FBOU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/07/29,110年設計驅動跨域整合創新計畫獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarw8lnPiS9Wqt/rn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文創發展司
2021/07/27,110年流行音樂產業行銷推廣補助案 第二類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO13lSOO/9FM2aSajgEbac3TiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/07/27,110年流行音樂產業行銷推廣補助案 第一類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO13lSOO/9FM2ZYipU1NjdncLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/07/23,文化部110年度時尚跨界活動補助案第二梯次審查結果公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCiqSajgEbac3TeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文創發展司
2021/07/20,（竹美館）110年「文化部推動社區營造及村落文化補助作業」第二次審查會議（第2期自主參與類審查）獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWBH3l3rZXuEWU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2021/07/19,110年文化部推動社區營造及村落文化補助作業-自主參與類獲補助名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO3vmAc1XokWyxMuKMtuAcXV3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺東生活美學館
2021/07/19,110年第2期國家人權博物館人權教育推廣活動補助計畫審查結果,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR8y3++ohL//rKLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家人權博物館
2021/07/16,110年第3次「文化部補助文化團體及個人從事文化交流活動」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W+bcZl/ZI9jLUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/07/15,110年度綜藝節目製作補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqmBOXWaLSa53rn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/07/15,110年度「電影人才培訓輔導要點」第2梯次補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1rGVoYU1zsLmBOXWaLSa53UMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/07/14,文化部110年第一期翻譯出版獎勵(GPT 2021),AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR8xMuKMtuAcXViWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/07/13,110年「文化部推動社區營造及村落文化補助計畫」自主參與類第二期獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCii3e2ckAvYQC3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2021/07/09,110年度「文化部補助文化團體及個人從事文化交流 活動處理要點」專案補助(東南亞、西亞及南亞、青年園丁)審查結果,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W2LqPn3MOnr3UMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/07/09,110年「文化部推動社區營造及村落文化補助計畫」自主參與類第二期獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1A0v7/XF+ZeN3b7pgCbupTeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺南生活美學館
2021/07/08,110年度電視節目製作補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqnLYAU+y4CvxU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/07/06,110年度金視獎入圍名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErLMerULPnC7Irn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/07/01,110年度「輔導電影產業數位升級」獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1rGVoYU1zsLrMerULPnC7IyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/07/01,110年度新媒體跨平臺創意影音節目製作補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqrX8jMYJbO6lmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/06/30,110年「流行音樂製作發行補助案-錄製升級類」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhH7xchISdEKF3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/30,110年本土語言流行音樂專輯製作發行補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO13lSOO/9FM2QC4wNPObmXDU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/29,110年「流行音樂製作發行補助案-創作樂團類」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhH7xchISdEKFmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/29,110年「流行音樂新媒體應用節目製播計畫補助案」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO13lSOO/9FM2Tvx6xmM940QUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/25,110年第2期「文化部推廣文學閱讀及人文活動補助作業—文學推廣類」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR84QVQ79d27Horn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/06/25,110年第2期「文化部推廣文學閱讀及人文活動補助作業—人文思想類」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR84QVQ79d27HoyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/06/25,110年第2期「文化部推廣文學閱讀及人文活動補助作業—閱讀推廣類」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR84QVQ79d27HoiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/06/21,110年第2次「文化部補助文化團體及個人從事文化交流活動」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W+bcZl/ZI9jL8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/06/18,110年度電視劇本開發補助獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqtWRLHLnmanG3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/06/18,110年度影視人才培訓補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErNWRLHLnmanGU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/06/16,110年「流行音樂人才培訓補助案」第二類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhDj/6dEDD72omdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/16,110年「流行音樂人才培訓補助案」第一類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhGgbjEc6tlEZrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/15,110年度電視節目劇本創作獎入圍名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqtTIuBZXy1BKUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/06/14,110年第22屆文化部選送文化相關人才出國駐村交流計畫-西班牙昂格藝術村獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1KEjxvsTMdKM840qZ3a3IMeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/06/10,110年度第1梯次國產電影片國內行銷補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCir6bkIRXo/xNrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/06/02,110年「流行音樂製作發行補助案-影視原創音樂歌曲類」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhHQwh/v/GQJniWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/06/01,110年第二期「視覺藝術產業辦理或參加國際藝術展會」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR89TIuBZXy1BKLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/05/26,「110年度廣播節目製播補助案」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqhtwu6eSr+h4eleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/05/20,110年「流行音樂星品牌經紀國際發展計畫補助案」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhAPpOULlrr+T3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2021/05/20,110年度兒童電視節目製作補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1isrcKcaVAhDJc5EJAgskmU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/05/18,110年度紀錄片製作補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErGgbjEc6tlEZUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/05/14,110年「社區融藝、跨界共融」補助計畫實施要點補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErCch+TVRye5bmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2021/05/07,部落林產工藝產業發展計畫,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53Dl5JwGEinc68Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/05/07,110年度電視節目翻譯字幕費及配音費補助案第1次評選會議獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqn2KCDrpus2lLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/05/03,109年度「補助入圍(選)或獲國內外重要影展獎項電影片之影視事業及導演製作下一部電影片」獲補助金電影片核定函名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2TBe9cWRjb4NJSDP1d+1gAiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/04/30,110年度文化部輔導核心創作及獨立工作者進駐文化創意聚落計畫補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1obLzSLfq6HNJSDP1d+1gAU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文創發展司
2021/04/29,110年「國家鐵道博物館籌備處推展鐵道學術暨文化活動補助計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1obLzSLfq6HP8Zb8dxH2xGUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家鐵道博物館籌備處
2021/04/28,110年國家人權博物館推動不義遺址保存維護與人權事務發展補助核定補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0LNp6OTlbJYNJSDP1d+1gA8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家人權博物館
2021/04/28,110年第1次「文化部補助文化團體及個人從事文化交流活動」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2cbLWp4Ih9W+bcZl/ZI9jLrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2021/04/16,110年「輔導數位出版產業發展」補助名單及評審委員名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO13lSOO/9FM2dJSDP1d+1gALlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/04/13,110年文化部補助辦理文化論壇作業要點補助名單（法人團體類）,AwardPublish.jsp?__viewstate=KSQNMhhcbO0sw/gq7BByCv8Zb8dxH2xGeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-綜合規劃司
2021/04/06,研發類-110年北區「文化部文化體驗內容徵選補助作業要點」獲補助名單暨委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWCOucMM7v8pfLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2021/04/06,推廣類-110年北區「文化部文化體驗內容徵選補助作業要點」獲補助名單暨委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWCOucMM7v8pfyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2021/03/31,110年「文化部文化體驗內容徵選補助作業要點」申請案(中區)獲補助名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErNthnMHxgrxLLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2021/03/30,110年文化部文化體驗內容徵選補助作業要點 (南區) 獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1A0v7/XF+ZeO+HpfJx7RNQmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺南生活美學館
2021/03/30,國立臺灣交響樂團國際音樂人才拔尖計畫接受獎補助名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO32CMeuy7/XzaVkldJ5ACBreleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣交響樂團
2021/03/29,110年第22屆文化部選送文化相關人才出國駐村交流計畫-法國西帖藝術村-視覺藝術(含策展)類獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1KEjxvsTMdKLZ6gS2YZYBj3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/03/29,110年第22屆文化部選送文化相關人才出國駐村交流計畫-法國西帖藝術村-表演藝術類獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1KEjxvsTMdKLZ6gS2YZYBjU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/03/29,110年第22屆文化部選送文化相關人才出國駐村交流計畫-荷蘭歐洲陶藝中心獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1KEjxvsTMdKCBzxjmiV00feleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/03/16,110年文化部推廣文化平權補助作業要點補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0sw/gq7BByCmADYQkwkMbfrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-綜合規劃司
2021/03/15,110年度文化部推動社區營造及村落文化補助計畫-互助共好類獲補助名單及評審委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1A0v7/XF+ZeNnkkRH9e1e5yNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺南生活美學館
2021/03/15,110年度文化部推動社區營造及村落文化補助計畫-(第一梯次)自主參與類獲補助名單及評審委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1A0v7/XF+ZeNnkkRH9e1e5iWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺南生活美學館
2021/03/12,110年度「電影人才培訓輔導要點」第1梯次補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1rGVoYU1zsLj6pSi/swmEDU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/03/10,（竹美館）110年「文化部推動社區營造及村落文化補助計畫」互助共好類獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWH75pjPywD1K8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2021/03/10,（竹美館）110年「文化部推動社區營造及村落文化補助計畫」自主參與類第1次獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWH75pjPywD1KUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2021/03/10,110年度文化部語言友善環境及創作應用補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1PiQvLk/qI+T6pSi/swmED3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/03/07,110年文化部推動社區營造及村落文化補助作業─自主參與類補助名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO3vmAc1XokWy4aMW07wd7AZiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺東生活美學館
2021/03/07,110年「文化部推動社區營造及村落文化補助作業」互助共好類補助名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO3vmAc1XokWy4aMW07wd7AZmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺東生活美學館
2021/03/05,110年「文化部推動社區營造及村落文化補助計畫」互助共好類獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCioaMW07wd7AZyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2021/03/04,110年「文化部推動社區營造及村落文化補助計畫」自主參與類第一期獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCioaMW07wd7AZLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2021/03/03,文化部博物館事業推展補助作業要點110年度獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19B66EU3HV7N/GtCp3BNHmeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/03/02,「文化部辦理受嚴重特殊傳染性肺炎影響後藝文振興計畫補助」【流行音樂振興發展類】補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1obLzSLfq6HChldkiD3A8l3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/02/24,110-111年度博物館及地方文化館升級計畫獎補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19B66EU3HV7GOoqRZm1bzoU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/02/22,110年第22屆文化部選送文化相關人才出國駐村交流計畫-美國18街藝術中心獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1KEjxvsTMdKL3p5XDIkBnciWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/02/20,「110年選送文化相關人才出國駐村交流計畫－文學類－英國灣園(Cove Park)」第二階段公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWHFebLY4413JiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/02/09,"文化部110年選送文化相關人才出國駐村及交流計畫文學類甄選結果第二階段公告-美國聖塔菲藝術學院(Santa Fe Art Institute, SFAI)",AwardPublish.jsp?__viewstate=KSQNMhhcbO1jyb6zHQzaWAclBhgI5i2y3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/02/05,文化部110年度「漫畫創作及出版行銷獎勵要點」獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO04YpS8QkdZKuZB7ETorL0oyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
