date,title,link,department
2022/02/18,111年「文化部推動社區營造及村落文化補助作業要點」獲補助名單-東區,AwardPublish.jsp?__viewstate=KSQNMhhcbO0S4dAFF/MCI6Yj01doFhtDiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺東生活美學館
2022/02/18,111年第23屆文化部選送文化相關人才出國駐村交流計畫-荷蘭歐洲陶藝中心獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC6l0UI4GkaV7rn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/02/15,111年「文化部推動社區營造及村落文化補助計畫」自主參與類第1期獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2tBu8noJgxzKl0UI4GkaV7UMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2022/02/15,111年「文化部推動社區營造及村落文化補助計畫」互助共好類獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2tBu8noJgxzKl0UI4GkaV73btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立彰化生活美學館
2022/02/15,110年國際工藝設計競賽入選或得獎者補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53BtlXE+6Km4ReleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2022/02/14,110年第22屆文化部選送文化相關人才出國駐村交流計畫-法國西帖藝術村-影視及流行音樂類獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR8wjb7+EnBVARiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2022/02/14,（竹美館）111年「文化部推動社區營造及村落文化補助計畫」互助共好類獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2tGXohfkqfwegs5mMwBE86mdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2022/02/11,（竹美館）111年「文化部推動社區營造及村落文化補助計畫」自主參與類第1期獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2tGXohfkqfwegs5mMwBE86LlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立新竹生活美學館
2022/02/09,「2022年數位科技與視覺藝術跨界創作補助計畫」評選結果揭曉,AwardPublish.jsp?__viewstate=KSQNMhhcbO0PA2ox4V1nkGzn+GySOO1w8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣美術館
2022/01/28,111年度文化部推動社區營造及村落文化補助計畫-互助共好類獲補助名單及評審委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1dssvORRvWf0DO80BUqDMneleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺南生活美學館
2022/01/28,111年度文化部推動社區營造及村落文化補助計畫-(第一梯次)自主參與類獲補助名單及評審委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1dssvORRvWf0DO80BUqDMnLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺南生活美學館
2022/01/28,文化部111年「選送文化相關人才出國駐村交流計畫」 漫畫類-西班牙談論藝術村獲選名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC31lwqsKWcnRyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2022/01/27,111年第1期國家人權博物館人權教育推廣活動補助計畫審查結果,AwardPublish.jsp?__viewstate=KSQNMhhcbO3G8IvssNAMQKyIfcrhiqSfeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家人權博物館
