id,value
台北之家,10400000
臺南市南?科學教育館,10300000
迪化二０七博物館,10250000
陽明海洋文化藝術館,10250000
新竹市消防博物館,10200000
蔓菲聯爾創意製作有限公司,10200000
果核有限公司,10131040
國立臺灣大學,10081749
映象帝國股份有限公司,10000000
飛爾創意有限公司(原公司名:蔓非聯爾創意製作有限公司),10000000
溫柔鄉電影有限公司,10000000
當若科技藝術股份有限公司,10000000
上作娛樂有限公司,10000000
左撇子女孩電影製作有限公司,10000000
霹靂國際多媒體股份有限公司,10000000
原典國際影視製作有限公司,10000000
地頭影業股份有限公司,10000000
左外野國際影視有限公司,10000000
河岸留言音樂製造有限公司,9965654
超維度互動股份有限公司,9950000
財團法人義美環境保護基金會,9900000
國立臺灣師範大學,9850000
阿榮影業股份有限公司,9700000
天地多媒體國際有限公司,9620000
火氣音樂股份有限公司,9593000
鍾肇政文學生活園區,9560000
魚禾草影像有限公司,9500000
花蓮縣石雕博物館,9500000
金門文化園區,9500000
好勁影業有限公司,9400000
阿嬤家-和平與女性人權館,9395000
星桁影業有限公司,9340000
憲光二村,9260000
好看娛樂製作股份有限公司,9200000
菜寮化石園館,9000000
禾豐九路娛樂有限公司,9000000
瑪爾克電影有限公司,9000000
金光多媒體國際有限公司,9000000
李梅樹紀念館,8980000
大厝地影像製作有限公司,8950000
南臺學校財團法人南臺科技大學,8900000
桃園市原住民族文化會館,8900000
財團法人台北市文化基金會藝術村營運部,8900000
盛青陽娛樂製作股份有限公司,8800000
新北市政府文化局,8777000
桃園市政府,8760000
城邦文化事業股份有限公司,8730000
中華文化總會,8700000
親子天下股份有限公司,8612000
黃翊工作室,8607020
花蓮縣文化局,8600000
新竹市黑蝙蝠中隊文物陳列館,8600000
顏社企業有限公司,8600000
南投縣文學資料館,8600000
雲林布袋戲館,8580000
雪人有限公司,8500000
特勤國際股份有限公司,8500000
新竹市政府,8500000
文藝資料研究及服務中心,8400000
110年臺東縣地方影視音體驗及聚落發展計畫,8360000
放假影像有限公司,8300000
三川娛樂有限公司,8257000
林獻堂文物館,8200000
臺灣各種吧股份有限公司,8192000
芝山文化生態綠園,8100000
綺影映畫有限公司,8090000
海鵬影業有限公司、東橫一有限公司,8000000
主磐叙社有限公司,8000000
禾力文創有限公司,8000000
霹靂國際多媒體股份有限公司 ,8000000
華風數位股份有限公司,8000000
星空飛騰國際娛樂有限公司,8000000
廖文和國際多媒體有限公司,8000000
奇葩娛樂事業有限公司,8000000
聯聯看演藝經紀股份有限公司,8000000
天暢國際股份有限公司,8000000
風尚國際文化傳媒股份有限公司,8000000
天際娛樂股份有限公司,8000000
艾克斯娛樂股份有限公司,8000000
我們之間影像製作有限公司,7900000
東風沐電影工作室,7850000
鏡文學股份有限公司,7840000
高雄文學館,7750000
台北双喜電影發行股份有限公司,7749925
社團法人台灣視覺藝術協會,7700000
花蓮影視基地擴展計劃,7698600
新竹市文化局,7672000
當代傳奇劇場,7650000
春暉映像有限公司,7632992
大辣出版股份有限公司,7600000
紅毛港文化園區,7600000
羊王映式有限公司,7570000
宜蘭縣文化局,7500000
樂群動畫製作股份有限公司,7500000
西螺延平老街文化館,7500000
風潮音樂國際股份有限公司,7491338
再現影像製作股份有限公司,7422225
南澳鄉泰雅文物館,7400000
人人有功練音樂工作室,7349064
竹圍工作室,7291000
哈瑪星台灣鐵道館,7250000
財團法人李梅樹文教基金會,7250000
下半場電影股份有限公司,7249979
臺南市文化局,7200000
內容力有限公司,7179000
碧歐司文化創意顧問股份有限公司,7150000
大腕影像股份有限公司,7120000
我宅有限公司,7100000
國家廣播文物館,7057000
活水文化事業有限公司,7053000
  南方影音雄精彩─影視音體驗推廣計畫,7023100
拾影像文化有限公司,7000000
桃園市文化局,7000000
幻想曲數位內容有限公司,7000000
雙銓製作有限公司,7000000
澎湖生活博物館,7000000
彰化縣文化局,6920000
高雄市勞工博物館,6920000
新北市文化局,6900000
后花園數位影像製作有限公司,6900000
用力拍電影有限公司,6830000
玻璃工藝博物館,6800000
鳳甲美術館,6800000
國立清華大學,6800000
柯旗化故居,6800000
苗栗縣陶瓷博物館,6800000
屏東縣原住民文化會館,6700000
安樂茂思國際事業有限公司,6650000
灰魚影像製作有限公司,6600000
金門縣文化局,6600000
國立海洋科技博物館,6600000
臺北市文化局,6500000
双融藝股份有限公司,6480000
臺中文學館,6400000
台灣音樂文化國際交流協會,6400000
米大創意有限公司,6386700
派譜有限公司,6370000
長鴻出版社股份有限公司,6350000
好哦工作室,6329100
青文出版社股份有限公司,6300000
浮現音樂藝文有限公司,6278000
舞鈴劇場,6200000
臺中市文化局,6200000
頑石國際有限公司,6120000
吳濁流藝文館,6050000
怡佳娛樂經紀股份有限公司,6000000
國立臺灣科學教育館,6000000
央廣鹿港分台宿舍群,6000000
寒山拾得有限公司,6000000
華山站股份有限公司,6000000
時磨映象股份有限公司,6000000
幸福本色國際文創股份有限公司,6000000
底噪影像有限公司,6000000
滿滿額娛樂股份有限公司,5900188
台灣藝術史研究學會,5880000
基隆市文化局,5800000
行?記念館,5800000
嘉義市文化局,5800000
屏東戲曲故事館,5800000
影像博物館,5800000
衣卡股份有限公司,5700000
曉劇場,5700000
任意門娛樂股份有限公司,5700000
社團法人臺灣電視劇製作產業聯合總會,5700000
屏東美術館,5650000
社團法人花蓮縣牛犁社區交流協會,5645000
源古本舖,5640000
台灣文化啟蒙運動 高雄紀念音樂會,5600000
潮州日式歷史建築文化園區,5600000
角頭文化事業股份有限公司,5600000
虎夫音創工作室,5600000
新竹市美術館,5600000
國立成功大學博物館,5597000
烏來泰雅民族博物館,5560000
好日文化有限公司,5515538
世界柔軟數位影像文化有限公司,5500000
國立臺北教育大學北師美術館,5500000
愛迪斯科技股份有限公司,5490000
龜山眷村故事館,5462000
科文双融投資顧問股份有限公司,5410662
輔仁大學學校財團法人輔仁大學,5410200
銀翼文創有限公司,5404000
連江縣文化處,5400000
新光影城股份有限公司,5400000
中原大學,5400000
尼可樂表演藝術有限公司,5360800
老戲院•新舞台,5355000
恆春民謠館,5350000
臺南家具產業博物館,5332000
小林平埔族群文物館,5300000
安娜琪舞蹈劇場,5300000
新竹縣文化局,5300000
洲南鹽場,5300000
蕭?文化園區,5300000
後場音像紀錄工作室有限公司,5290000
派樂黛唱片有限公司,5275000
威秀影城股份有限公司,5230000
深靛感官創意有限公司,5200000
雲林縣政府文化處,5200000
國立臺北藝術大學關渡美術館,5200000
香港商甲上娛樂有限公司台灣分公司,5150716
腦漿娛樂製作有限公司,5150000
屏東縣政府,5150000
小白兔橘子有限公司,5110868
再見捌捌陸-臺灣眷村文化園區,5100000
二結穀倉稻農文化館,5100000
橋仔頭白屋股份有限公司,5060000
相信音樂國際股份有限公司,5052000
新平溪煤礦博物園區,5050000
麥加芬電影製作有限公司,5050000
臺北表演藝術中心,5000000
臺中市政府文化局,5000000
台灣葡萄子傳媒科技股份有限公司,5000000
瑞穗鄉奇美原住民文物館,5000000
苗栗縣文化局,5000000
一氣有限公司,5000000
犢影製作電影有限公司、馬棋朵數位影像製作有限公司,5000000
魔力時代傳媒股份有限公司,5000000
嘉義縣文化局,5000000
臺南市菜寮化石館,5000000
吾聚影像股份有限公司,5000000
這虎音樂工作室,5000000
臺東縣文化處,5000000
前景娛樂有限公司、華影國際影藝有限公司,5000000
大霹靂國際整合行銷股份有限公司,5000000
岸上影像有限公司、內容物數位電影製作有限公司,5000000
桃園市客家文化館園區,5000000
鴻奇文化事業有限公司,4996000
花漫社文化事業工作室,4993738
角子影音製作有限公司,4956000
聯合數位文創股份有限公司、睿至股份有限公司(聯合提案),4954520
滿州民謠館,4950000
屏東縣獅子鄉文物陳列館,4950000
虛擬農場有限公司,4934300
印刻文學生活雜誌出版股份有限公司,4920000
踢歐哎哎有限公司,4906500
阿緱地方文化館,4900000
畢業生有限公司,4850000
馬祖新村眷村文創園區,4840000
賴和紀念館,4830000
水谷藝術,4800000
好旅文創有限公司,4800000
黃金蝙蝠生態館,4790000
歐可立克企業有限公司,4775000
大畫電影文化股份有限公司,4721710
文訊雜誌社,4720000
國立臺灣科技大學,4702000
總爺生態博物館,4700000
國立成功大學,4675000
黃薇國際創意設計有限公司,4670000
完美聲音有限公司,4650000
屏東縣來義鄉原住民文物館,4650000
新港閱讀館,4650000
小島大歌影音工作室,4618826
行人股份有限公司,4610000
舊打狗驛故事館,4600000
?吧哖事件紀念園區,4600000
慢工文化事業有限公司,4594000
臺北市政府文化局,4590000
旗津戰爭與和平紀念公園主題館,4540000
超維度互動,4500000
華麗邏輯有限公司,4500000
斯爾夫股份有限公司,4500000
英傑哆股份有限公司,4500000
海口味有限公司,4415000
國立政治大學,4400000
國立宜蘭大學,4400000
嘉義市影視協拍營運基地計畫,4385150
前景娛樂有限公司,4380000
北港文化中心,4320000
創銘實業股份有限公司,4310000
緒虎製作有限公司,4300000
雲林縣政府文化觀光處,4280000
台北偶戲館,4250000
木田工場有限公司,4245000
金星娛樂事業股份有限公司,4200000
